GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AI Code Review,com.ai.codereview.exception,GlobalExceptionHandler,57,0,0,0,11,0,3,0,3,0
AI Code Review,com.ai.codereview.dto,ApiResponse,62,0,0,0,17,0,12,0,12,0
AI Code Review,com.ai.codereview.model,CodeReview,31,0,0,0,9,0,9,0,9,0
AI Code Review,com.ai.codereview.model,CodeSnippetRequest,17,0,0,0,7,0,5,0,5,0
AI Code Review,com.ai.codereview.security,JwtUtils,98,0,0,0,27,0,5,0,5,0
AI Code Review,com.ai.codereview.security,JwtAuthenticationFilter,74,0,8,0,19,0,8,0,4,0
AI Code Review,com.ai.codereview.security,SecurityConfig,109,0,0,0,17,0,10,0,10,0
AI Code Review,com.ai.codereview.controller,CodeReviewController,50,0,0,0,13,0,5,0,5,0
AI Code Review,com.ai.codereview.client,HuggingFaceClient,84,4,0,0,20,1,3,1,3,1
AI Code Review,com.ai.codereview.config,WebConfig,45,0,0,0,7,0,2,0,2,0
AI Code Review,com.ai.codereview.config,RateLimitConfig.new Filter() {...},30,0,2,0,7,0,3,0,2,0
AI Code Review,com.ai.codereview.config,RateLimitConfig,21,0,0,0,6,0,2,0,2,0
AI Code Review,com.ai.codereview.config,CorrelationIdFilter,16,0,0,0,6,0,2,0,2,0
AI Code Review,com.ai.codereview.service,CodeReviewService,77,0,0,0,20,0,6,0,6,0
AI Code Review,com.ai.codereview,CodeReviewApplication,8,0,0,0,3,0,2,0,2,0
